workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,b,s1,1,120.004,17070,0,6,10,11,15,142.24525849138362,23.34126362454585
w2-10vu,b,s1,10,120.01,99759,0,10,15,17,68,831.2557286892759,136.93813015582035
w2-50vu,b,s1,50,120.017,170845,0,30,54,73,176,1423.5066698884325,235.1859736537324
q-time-1h-10vu,b,s1,10,120.093,6533,0,150,339,398,511,54.39950704870392,0
q-time-24h-10vu,b,s1,10,120.216,6377,0,156,351,413,542,53.04618353630133,0
q-time-7d-10vu,b,s1,10,120.718,1644,0,514,1710,1894,2403,13.618515879984757,0
q-id-10vu,b,s1,10,154.882,13,0,134103,154881,154881,154881,0.08393486654356219,0
q-conv-clustered-10vu,b,s2,10,126.693,133,0,8861,16148,18084,19423,1.049781755898116,0
q-conv-scattered-10vu,b,s2,10,125.811,133,0,9189,16642,18234,20975,1.0571412674567406,0
w1-1vu,b,s2,1,120.025,2675,0,44,64,66,71,22.287023536763172,0.4764524057488023
w1-10vu,b,s2,10,120.044,18542,0,63,94,100,119,154.46003132184865,3.3331428476225384
w1-50vu,b,s2,50,120.121,35196,0,167,253,275,311,293.00455374164386,6.324957334687523
q-time-1h-10vu-s2,b,s2,10,120.054,25429,30,42,80,90,108,211.81301747546937,0
q-time-24h-10vu-s2,b,s2,10,120.055,17002,9,65,121,138,168,141.61842488859273,0
q-time-7d-10vu-s2,b,s2,10,120.154,7134,0,145,329,381,470,59.37380361868935,0
q-id-10vu-s2,b,s2,10,125.282,284,0,2650,11030,12014,12991,2.2668859053974235,0
m1-1tenant,b,s1,50,300.1,32559,0,435,781,885,1072,108.49383538820392,0
m2-5pct,b,s1,50,300.261,39258,0,288,928,1087,1402,130.7462507618372,0
m3-50pct,b,s1,50,300.215,44416,0,170,912,1129,1542,147.94730443182388,0
m4-50pct-b,b,s1,50,300.356,44906,0,165,904,1131,1543,149.50924902449094,0
mixed-10vu,b,s1,10,1045.161,343,0,30,152716,202688,231280,0.32817910350654106,0.004111328302529467
mixed-50vu,b,s1,50,1262.979,957,0,51,267844,453666,640910,0.7577323138389475,0.008633397704949964
mixed-100vu,b,s1,100,1513.308,806,0,6205,606469,782471,1047637,0.5326080348481604,0.004748405479915523
