workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.004,17025,0,6,10,10,14,141.87027099096696,23.355138162061266
w2-10vu,a,s1,10,120.005,123449,0,8,12,14,60,1028.698804216491,169.3737760926628
w2-50vu,a,s1,50,120.015,187137,0,30,46,56,82,1559.2800899887513,256.29421322334707
q-time-1h-10vu,a,s1,10,120.074,17336,0,67,108,125,160,144.37763379249463,0
q-time-24h-10vu,a,s1,10,120.079,17526,0,66,108,125,160,145.95391367349828,0
q-time-7d-10vu,a,s1,10,120.063,17819,0,65,105,122,157,148.41374944820635,0
q-id-10vu,a,s1,10,120.057,30264,0,32,68,84,117,252.08026187560907,0
q-conv-clustered-10vu,a,s2,10,120.124,6029,0,167,344,410,532,50.18980386933502,0
q-conv-scattered-10vu,a,s2,10,120.513,2430,0,390,999,1169,1507,20.163799756042916,0
w1-1vu,a,s2,1,120.047,2922,0,40,59,63,71,24.340466650561865,0.5184119553175006
w1-10vu,a,s2,10,120.086,21537,0,55,81,86,99,179.3464683643389,3.8843112436087472
w1-50vu,a,s2,50,120.123,36662,0,163,233,247,271,305.20383273811007,6.62054394245898
q-time-1h-10vu-s2,a,s2,10,120.015,65518,29,16,30,37,50,545.91509394659,0
q-time-24h-10vu-s2,a,s2,10,120.023,65394,36,16,30,37,50,544.8455712655075,0
q-time-7d-10vu-s2,a,s2,10,120.039,35279,5,28,57,68,88,293.89615041778086,0
q-id-10vu-s2,a,s2,10,120.078,22286,9,45,109,137,191,185.59602924765568,0
m1-1tenant,a,s1,50,300.25,26659,0,441,1123,1307,1664,88.78934221482098,0
m2-5pct,a,s1,50,300.113,112834,0,70,349,418,548,375.97171731980956,0
m3-50pct,a,s1,50,300.059,263571,0,30,146,179,237,878.3972485411201,0
mixed-10vu,a,s1,10,900.09,117349,0,63,151,184,278,130.3747403037474,2.2229317068293173
mixed-50vu,a,s1,50,900.257,280469,0,76,344,519,1499,311.5432593137293,5.58190094606318
mixed-100vu,a,s1,100,900.232,346003,0,125,389,1070,2696,384.3487012236846,6.687083107465631
w2-1vu,b,s1,1,120.002,17301,0,6,10,11,14,144.17259712338128,23.894018433026115
w2-10vu,b,s1,10,120.009,138369,0,8,11,13,28,1152.9885258605605,188.63106100375805
w2-50vu,b,s1,50,120.014,183370,0,31,46,57,86,1527.9050777409302,252.42013431766293
q-time-1h-10vu,b,s1,10,120.325,1090,0,1058,1526,1690,2077,9.058799085809266,0
q-time-24h-10vu,b,s1,10,120.621,1077,0,1066,1605,1776,2087,8.928793493670257,0
q-time-7d-10vu,b,s1,10,126.266,141,0,8321,11981,12704,13586,1.1166901620388703,0
q-id-10vu,b,s1,10,154.15,30,0,37955,68443,80134,89485,0.19461563412260785,0
q-conv-clustered-10vu,b,s2,10,122.547,328,0,2916,8140,9048,12324,2.6765241091173184,0
q-conv-scattered-10vu,b,s2,10,123.439,250,0,4674,6629,7229,10271,2.0252918445548005,0
w1-1vu,b,s2,1,120.019,2926,0,41,58,62,69,24.379473250068738,0.5250135395229089
w1-10vu,b,s2,10,120.055,20652,0,58,83,88,101,172.0211569697222,3.7141476823122734
w1-50vu,b,s2,50,120.117,35379,0,168,242,256,282,294.53782562002044,6.316649599973359
q-time-1h-10vu-s2,b,s2,10,120.021,50931,15,23,34,38,48,424.35073862074137,0
q-time-24h-10vu-s2,b,s2,10,120.026,50613,20,23,35,38,48,421.6836352123707,0
q-time-7d-10vu-s2,b,s2,10,120.044,26393,2,39,78,93,127,219.86105094798575,0
q-id-10vu-s2,b,s2,10,122.002,539,0,1345,5911,6796,7380,4.4179603613055525,0
m1-1tenant,b,s1,50,300.399,6785,0,1981,3701,4140,5070,22.586626453483532,0
m2-5pct,b,s1,50,300.507,11784,0,1258,1657,1783,2017,39.21372879833082,0
m3-50pct,b,s1,50,300.412,12058,0,1234,1627,1742,1985,40.13821019133724,0
m4-50pct-b,b,s1,50,300.481,12073,0,1225,1628,1750,2017,40.17891314259471,0
mixed-10vu,b,s1,10,945.492,1307,0,193,16510,54916,136635,1.3823490838632162,0.024166677243170752
mixed-50vu,b,s1,50,1256.315,841,40,288,466672,623459,772405,0.6694180997600124,0.014785145445210795
mixed-100vu,b,s1,100,1290.906,921,50,3186,462761,614235,802301,0.7134524124916919,0.013728342729834706
