workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120,14570,0,7,11,12,19,121.41666666666667,19.595708333333334
w2-10vu,a,s1,10,120.013,93569,0,11,16,18,64,779.6572038029213,128.22827527017907
w2-50vu,a,s1,50,120.011,172076,0,31,62,72,95,1433.8352317704212,234.9527959937006
q-time-1h-10vu,a,s1,10,120.067,18036,0,63,123,144,190,150.216129327792,0
q-time-24h-10vu,a,s1,10,120.12,17561,0,64,126,146,188,146.19547119547119,0
q-time-7d-10vu,a,s1,10,120.148,17529,0,65,127,149,194,145.89506275593436,0
q-id-10vu,a,s1,10,120.047,27718,0,36,73,88,122,230.89290028072338,0
q-conv-clustered-10vu,a,s2,10,120.107,16845,0,61,127,150,193,140.24994380011157,0
q-conv-scattered-10vu,a,s2,10,120.418,2867,0,362,793,920,1138,23.808732913684,0
w1-1vu,a,s2,1,120.051,2576,0,46,66,69,83,21.4575472091028,0.4683242955077425
w1-10vu,a,s2,10,120.066,16549,0,72,104,111,131,137.83252544433896,2.974300801225992
w1-50vu,a,s2,50,120.145,33878,0,144,337,364,408,281.97594573224023,6.078758167214616
q-time-1h-10vu-s2,a,s2,10,120.025,56259,53,20,32,36,48,468.72734846906894,0
q-time-24h-10vu-s2,a,s2,10,120.033,57568,29,20,31,35,46,479.60144293652576,0
q-time-7d-10vu-s2,a,s2,10,120.021,43529,22,25,42,49,66,362.6781979820198,0
q-id-10vu-s2,a,s2,10,120.049,18781,0,55,128,157,214,156.44445184882838,0
m1-1tenant,a,s1,50,300.02,196504,0,74,123,141,171,654.9696686887542,0
m2-5pct,a,s1,50,300.089,182751,0,42,205,245,311,608.9893331644945,0
m3-50pct,a,s1,50,300.105,209863,0,50,159,193,258,699.2985788307425,0
mixed-10vu,a,s1,10,900.192,104894,0,74,161,193,285,116.52403042906403,2.048614295616935
mixed-50vu,a,s1,50,900.225,235690,0,91,402,598,1745,261.81232469660364,4.600649837540614
mixed-100vu,a,s1,100,900.402,279413,0,157,475,1280,3353,310.32027916419554,5.494377844562762
