workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.002,20540,0,5,8,9,12,171.1638139364344,28.693563440609324
w2-10vu,a,s1,10,120.009,127755,0,7,11,13,65,1064.5451591130666,174.9830846019882
w2-50vu,a,s1,50,120.02,186986,0,29,50,59,85,1557.9570071654725,255.28295284119312
q-time-1h-10vu,a,s1,10,120.078,16097,0,65,133,160,218,134.05453122137277,0
q-time-24h-10vu,a,s1,10,120.099,18554,0,59,108,126,165,154.4892130658873,0
q-time-7d-10vu,a,s1,10,120.139,18685,0,59,109,128,167,155.52817985833076,0
q-id-10vu,a,s1,10,120.012,35116,0,30,55,66,87,292.6040729260407,0
q-conv-clustered-10vu,a,s2,10,120.016,48329,0,20,44,53,77,402.6879749366751,0
q-conv-scattered-10vu,a,s2,10,120.082,9453,0,109,234,270,328,78.72120717509702,0
w1-1vu,a,s2,1,120.016,3555,0,34,48,50,54,29.621050526596452,0.6448690174643381
w1-10vu,a,s2,10,120.051,24519,0,49,70,74,83,204.23819876552466,4.415131902274866
w1-50vu,a,s2,50,120.085,42095,0,137,223,242,267,350.5433651163759,7.578345338718408
q-time-1h-10vu-s2,a,s2,10,120.008,104661,32,11,18,21,27,872.116858876075,0
q-time-24h-10vu-s2,a,s2,10,120.017,104397,40,11,18,21,26,869.8517709991085,0
q-time-7d-10vu-s2,a,s2,10,120.015,104228,34,11,19,21,27,868.4581094029913,0
q-id-10vu-s2,a,s2,10,120.054,31357,4,34,74,89,120,261.19079747446983,0
m1-1tenant,a,s1,50,300.104,124239,0,118,192,214,257,413.9864846853091,0
m2-5pct,a,s1,50,300.078,223469,0,55,140,169,224,744.7030438752591,0
m3-50pct,a,s1,50,300.038,337618,0,33,91,115,168,1125.2508015651351,0
mixed-10vu,a,s1,10,900.118,123096,0,61,142,170,250,136.7554031804719,2.4672320740169624
mixed-50vu,a,s1,50,900.235,336191,0,74,255,369,1275,373.44804412181264,6.449964064938599
mixed-100vu,a,s1,100,900.219,506643,0,93,210,564,2001,562.7997187351077,9.698018371085258
