workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,b,s1,1,120.002,20195,0,5,8,9,12,168.28886185230246,27.173297111714806
w2-10vu,b,s1,10,120.006,127920,0,8,11,13,40,1065.9467026648667,173.66098361748578
w2-50vu,b,s1,50,120.022,183922,0,29,50,59,86,1532.402392894636,250.24912099448434
q-time-1h-10vu,b,s1,10,120.089,19329,0,59,108,126,166,160.95562457843766,0
q-time-24h-10vu,b,s1,10,120.076,19810,0,57,106,125,161,164.9788467304041,0
q-time-7d-10vu,b,s1,10,120.067,18773,0,57,117,137,179,156.35436881074733,0
q-id-10vu,b,s1,10,120.065,9935,0,105,220,254,313,82.74684545870987,0
q-conv-clustered-10vu,b,s2,10,120.036,19858,0,53,108,124,155,165.43370322236663,0
q-conv-scattered-10vu,b,s2,10,120.137,3917,0,278,554,625,749,32.6044432606108,0
w1-1vu,b,s2,1,120.022,3594,0,33,47,51,55,29.944510173134923,0.644646814750629
w1-10vu,b,s2,10,120.062,23575,0,50,74,78,90,196.35688227748997,4.253157535273442
w1-50vu,b,s2,50,120.113,40577,0,142,232,252,279,337.8235494908961,7.2876241539217235
q-time-1h-10vu-s2,b,s2,10,120.047,65220,30,17,30,34,44,543.2872125084342,0
q-time-24h-10vu-s2,b,s2,10,120.012,64590,23,17,30,35,46,538.1961803819618,0
q-time-7d-10vu-s2,b,s2,10,120.026,64259,30,17,31,35,46,535.3756686051356,0
q-id-10vu-s2,b,s2,10,120.09,7945,0,109,347,405,497,66.15871429761012,0
m1-1tenant,b,s1,50,300.122,87744,0,167,270,302,362,292.3611064833634,0
m2-5pct,b,s1,50,300.085,102027,0,149,273,307,368,339.99366846060286,0
m3-50pct,b,s1,50,300.065,229421,0,28,166,195,247,764.5710096145835,0
m4-50pct-b,b,s1,50,300.045,233474,0,27,164,193,243,778.1299471745905,0
mixed-10vu,b,s1,10,900.106,98335,0,79,166,209,322,109.2482440956954,1.9333774022170722
mixed-50vu,b,s1,50,900.319,124737,0,138,731,1250,4060,138.54755925399775,2.305312450364815
mixed-100vu,b,s1,100,900.525,141761,0,309,886,2407,6802,157.42039365925433,2.7847468976430414
