workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.002,20540,0,5,8,9,12,171.1638139364344,28.693563440609324
w2-10vu,a,s1,10,120.009,127755,0,7,11,13,65,1064.5451591130666,174.9830846019882
w2-50vu,a,s1,50,120.02,186986,0,29,50,59,85,1557.9570071654725,255.28295284119312
q-time-1h-10vu,a,s1,10,120.078,16097,0,65,133,160,218,134.05453122137277,0
q-time-24h-10vu,a,s1,10,120.099,18554,0,59,108,126,165,154.4892130658873,0
q-time-7d-10vu,a,s1,10,120.139,18685,0,59,109,128,167,155.52817985833076,0
q-id-10vu,a,s1,10,120.012,35116,0,30,55,66,87,292.6040729260407,0
q-conv-clustered-10vu,a,s2,10,120.016,48329,0,20,44,53,77,402.6879749366751,0
q-conv-scattered-10vu,a,s2,10,120.082,9453,0,109,234,270,328,78.72120717509702,0
w1-1vu,a,s2,1,120.016,3555,0,34,48,50,54,29.621050526596452,0.6448690174643381
w1-10vu,a,s2,10,120.051,24519,0,49,70,74,83,204.23819876552466,4.415131902274866
w1-50vu,a,s2,50,120.085,42095,0,137,223,242,267,350.5433651163759,7.578345338718408
q-time-1h-10vu-s2,a,s2,10,120.008,104661,32,11,18,21,27,872.116858876075,0
q-time-24h-10vu-s2,a,s2,10,120.017,104397,40,11,18,21,26,869.8517709991085,0
q-time-7d-10vu-s2,a,s2,10,120.015,104228,34,11,19,21,27,868.4581094029913,0
q-id-10vu-s2,a,s2,10,120.054,31357,4,34,74,89,120,261.19079747446983,0
m1-1tenant,a,s1,50,300.104,124239,0,118,192,214,257,413.9864846853091,0
m2-5pct,a,s1,50,300.078,223469,0,55,140,169,224,744.7030438752591,0
m3-50pct,a,s1,50,300.038,337618,0,33,91,115,168,1125.2508015651351,0
mixed-10vu,a,s1,10,900.118,123096,0,61,142,170,250,136.7554031804719,2.4672320740169624
mixed-50vu,a,s1,50,900.235,336191,0,74,255,369,1275,373.44804412181264,6.449964064938599
mixed-100vu,a,s1,100,900.219,506643,0,93,210,564,2001,562.7997187351077,9.698018371085258
w2-1vu,b,s1,1,120.002,20195,0,5,8,9,12,168.28886185230246,27.173297111714806
w2-10vu,b,s1,10,120.006,127920,0,8,11,13,40,1065.9467026648667,173.66098361748578
w2-50vu,b,s1,50,120.022,183922,0,29,50,59,86,1532.402392894636,250.24912099448434
q-time-1h-10vu,b,s1,10,120.089,19329,0,59,108,126,166,160.95562457843766,0
q-time-24h-10vu,b,s1,10,120.076,19810,0,57,106,125,161,164.9788467304041,0
q-time-7d-10vu,b,s1,10,120.067,18773,0,57,117,137,179,156.35436881074733,0
q-id-10vu,b,s1,10,120.065,9935,0,105,220,254,313,82.74684545870987,0
q-conv-clustered-10vu,b,s2,10,120.036,19858,0,53,108,124,155,165.43370322236663,0
q-conv-scattered-10vu,b,s2,10,120.137,3917,0,278,554,625,749,32.6044432606108,0
w1-1vu,b,s2,1,120.022,3594,0,33,47,51,55,29.944510173134923,0.644646814750629
w1-10vu,b,s2,10,120.062,23575,0,50,74,78,90,196.35688227748997,4.253157535273442
w1-50vu,b,s2,50,120.113,40577,0,142,232,252,279,337.8235494908961,7.2876241539217235
q-time-1h-10vu-s2,b,s2,10,120.047,65220,30,17,30,34,44,543.2872125084342,0
q-time-24h-10vu-s2,b,s2,10,120.012,64590,23,17,30,35,46,538.1961803819618,0
q-time-7d-10vu-s2,b,s2,10,120.026,64259,30,17,31,35,46,535.3756686051356,0
q-id-10vu-s2,b,s2,10,120.09,7945,0,109,347,405,497,66.15871429761012,0
m1-1tenant,b,s1,50,300.122,87744,0,167,270,302,362,292.3611064833634,0
m2-5pct,b,s1,50,300.085,102027,0,149,273,307,368,339.99366846060286,0
m3-50pct,b,s1,50,300.065,229421,0,28,166,195,247,764.5710096145835,0
m4-50pct-b,b,s1,50,300.045,233474,0,27,164,193,243,778.1299471745905,0
mixed-10vu,b,s1,10,900.106,98335,0,79,166,209,322,109.2482440956954,1.9333774022170722
mixed-50vu,b,s1,50,900.319,124737,0,138,731,1250,4060,138.54755925399775,2.305312450364815
mixed-100vu,b,s1,100,900.525,141761,0,309,886,2407,6802,157.42039365925433,2.7847468976430414
