workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,b,s1,1,120,16913,0,6,9,10,14,140.94166666666666,23.051916666666667
w2-10vu,b,s1,10,120.009,102467,0,10,14,16,71,853.8276295944471,139.55561666208368
w2-50vu,b,s1,50,120.031,170860,0,30,53,68,179,1423.465604718781,231.9843623730536
q-time-1h-10vu,b,s1,10,120.068,10524,0,114,205,239,304,87.65033147882866,0
q-time-24h-10vu,b,s1,10,120.142,11452,0,109,181,210,255,95.32053736411913,0
q-time-7d-10vu,b,s1,10,120.146,11327,0,110,182,211,260,94.27696302831555,0
q-id-10vu,b,s1,10,120.086,11806,0,89,174,201,250,98.31287577236314,0
q-conv-clustered-10vu,b,s2,10,120.122,10659,0,99,197,229,291,88.7347863005944,0
q-conv-scattered-10vu,b,s2,10,120.353,2167,0,505,975,1099,1380,18.00536754380863,0
w1-1vu,b,s2,1,120.04,2109,0,57,81,85,90,17.569143618793735,0.3743568810396534
w1-10vu,b,s2,10,120.064,18361,0,65,94,100,111,152.9267723880597,3.2917527318763327
w1-50vu,b,s2,50,120.134,37592,0,155,242,263,292,312.9172424126392,6.766705512178068
q-time-1h-10vu-s2,b,s2,10,120.024,58082,28,19,35,39,48,483.91988269012865,0
q-time-24h-10vu-s2,b,s2,10,120.028,58861,31,19,35,39,47,490.39390808811277,0
q-time-7d-10vu-s2,b,s2,10,120.038,42355,7,25,49,55,68,352.8465985771173,0
q-id-10vu-s2,b,s2,10,120.144,8252,0,105,331,388,478,68.68424557198028,0
m1-1tenant,b,s1,50,300.083,120884,0,121,198,221,263,402.8352155903533,0
m2-5pct,b,s1,50,300.072,132986,0,112,209,235,286,443.1803033938521,0
m3-50pct,b,s1,50,300.058,224892,0,31,165,195,251,749.4950976144612,0
m4-50pct-b,b,s1,50,300.056,226154,0,31,165,194,248,753.7059748846882,0
mixed-10vu,b,s1,10,900.161,100855,0,79,158,194,290,112.04106820890931,1.9378380089783938
mixed-50vu,b,s1,50,900.227,126811,0,123,712,1359,4026,140.8655816810649,2.574607959992313
mixed-100vu,b,s1,100,900.515,131073,0,332,948,2791,7245,145.55337778937607,2.4889870796155535
