workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,b,s1,1,120.003,17128,0,6,10,10,14,142.7297650892061,23.95556777747223
w2-10vu,b,s1,10,120.008,98845,0,11,16,17,39,823.6534231051263,134.53715585627626
w2-50vu,b,s1,50,120.073,104570,0,55,83,93,119,870.886877149734,142.84181289715423
q-time-1h-10vu,b,s1,10,120.075,20177,0,53,112,130,164,168.03664376431396,0
q-time-24h-10vu,b,s1,10,120.106,22629,0,45,101,118,148,188.40857242768888,0
q-time-7d-10vu,b,s1,10,120.085,21613,0,48,103,120,150,179.98084690011243,0
q-id-10vu,b,s1,10,120.038,10918,0,93,197,233,304,90.9545310651627,0
q-conv-clustered-10vu,b,s2,10,120.283,4722,0,222,464,544,686,39.25741792273222,0
q-conv-scattered-10vu,b,s2,10,120.874,957,0,1116,2345,2562,3150,7.9173354071181565,0
w1-1vu,b,s2,1,120,2419,0,50,71,74,79,20.158333333333335,0.42818333333333336
w1-10vu,b,s2,10,120.054,17443,0,68,99,104,115,145.292951505156,3.1229346793942727
w1-50vu,b,s2,50,120.157,19790,0,304,431,453,483,164.70118261940627,3.5589886565077355
q-time-1h-10vu-s2,b,s2,10,120.028,48081,29,25,38,43,54,400.58153097610557,0
q-time-24h-10vu-s2,b,s2,10,120.041,46199,31,25,41,46,57,384.8601727743021,0
q-time-7d-10vu-s2,b,s2,10,120.023,45500,9,25,41,46,57,379.0940069819951,0
q-id-10vu-s2,b,s2,10,120.239,8821,0,108,294,347,434,73.36222024467935,0
m1-1tenant,b,s1,50,300.07,176576,0,81,136,153,184,588.4493618155764,0
m2-5pct,b,s1,50,300.123,114031,0,128,247,282,349,379.94755483585067,0
m3-50pct,b,s1,50,300.058,249091,0,42,131,158,209,830.1428390511168,0
m4-50pct-b,b,s1,50,300.051,253794,0,41,128,155,205,845.8362078446664,0
mixed-10vu,b,s1,10,900.103,101097,0,74,164,206,317,112.31714592663285,1.9786444440247395
mixed-50vu,b,s1,50,900.28,115478,0,159,778,1406,4072,128.26898298307194,2.2558983871684366
mixed-100vu,b,s1,100,900.477,133876,0,334,946,2547,7251,148.67231478427544,2.576752321269727
