workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.006,16857,0,6,9,10,14,140.46797660116994,22.82210889455527
w2-10vu,a,s1,10,120.011,94958,0,11,15,17,69,791.2441359542042,130.2802659756189
w2-50vu,a,s1,50,120.032,109184,0,53,79,88,107,909.6241002399361,148.59908191149026
q-time-1h-10vu,a,s1,10,120.064,20756,0,56,92,105,131,172.8744669509595,0
q-time-24h-10vu,a,s1,10,120.036,20688,0,56,92,105,134,172.3482955113466,0
q-time-7d-10vu,a,s1,10,120.075,19921,0,58,94,110,142,165.90464293150114,0
q-id-10vu,a,s1,10,120.048,32794,0,33,55,64,83,273.17406370785017,0
q-conv-clustered-10vu,a,s2,10,120.051,16941,0,51,149,187,258,141.1150261139016,0
q-conv-scattered-10vu,a,s2,10,120.245,3842,0,270,542,658,861,31.951432491995508,0
w1-1vu,a,s2,1,120.034,2472,0,48,69,72,76,20.59416498658713,0.44368928803505675
w1-10vu,a,s2,10,120.063,18890,0,63,90,94,103,157.33406628186867,3.398788969124543
w1-50vu,a,s2,50,120.196,20730,0,289,411,429,455,172.46830177376953,3.7450547439182666
q-time-1h-10vu-s2,a,s2,10,120.022,70966,47,17,25,28,35,591.274932928963,0
q-time-24h-10vu-s2,a,s2,10,120.016,70048,45,17,26,29,36,583.6555125983202,0
q-time-7d-10vu-s2,a,s2,10,120.026,66918,33,18,27,30,37,557.529202006232,0
q-id-10vu-s2,a,s2,10,120.061,26286,5,43,85,101,134,218.93870615770317,0
m1-1tenant,a,s1,50,300.111,100895,0,143,237,264,318,336.1922755247225,0
m2-5pct,a,s1,50,300.042,269320,0,45,111,134,176,897.607668259777,0
m3-50pct,a,s1,50,300.036,428599,0,31,58,71,98,1428.4919143036168,0
mixed-10vu,a,s1,10,900.092,115897,0,65,149,181,263,128.76128218004382,2.293385120632113
mixed-50vu,a,s1,50,900.159,346088,0,77,236,350,1178,384.4742984294997,6.693608129230503
mixed-100vu,a,s1,100,900.235,453132,0,103,245,655,2185,503.3485700955861,8.826918526829106
w2-1vu,b,s1,1,120.003,17128,0,6,10,10,14,142.7297650892061,23.95556777747223
w2-10vu,b,s1,10,120.008,98845,0,11,16,17,39,823.6534231051263,134.53715585627626
w2-50vu,b,s1,50,120.073,104570,0,55,83,93,119,870.886877149734,142.84181289715423
q-time-1h-10vu,b,s1,10,120.075,20177,0,53,112,130,164,168.03664376431396,0
q-time-24h-10vu,b,s1,10,120.106,22629,0,45,101,118,148,188.40857242768888,0
q-time-7d-10vu,b,s1,10,120.085,21613,0,48,103,120,150,179.98084690011243,0
q-id-10vu,b,s1,10,120.038,10918,0,93,197,233,304,90.9545310651627,0
q-conv-clustered-10vu,b,s2,10,120.283,4722,0,222,464,544,686,39.25741792273222,0
q-conv-scattered-10vu,b,s2,10,120.874,957,0,1116,2345,2562,3150,7.9173354071181565,0
w1-1vu,b,s2,1,120,2419,0,50,71,74,79,20.158333333333335,0.42818333333333336
w1-10vu,b,s2,10,120.054,17443,0,68,99,104,115,145.292951505156,3.1229346793942727
w1-50vu,b,s2,50,120.157,19790,0,304,431,453,483,164.70118261940627,3.5589886565077355
q-time-1h-10vu-s2,b,s2,10,120.028,48081,29,25,38,43,54,400.58153097610557,0
q-time-24h-10vu-s2,b,s2,10,120.041,46199,31,25,41,46,57,384.8601727743021,0
q-time-7d-10vu-s2,b,s2,10,120.023,45500,9,25,41,46,57,379.0940069819951,0
q-id-10vu-s2,b,s2,10,120.239,8821,0,108,294,347,434,73.36222024467935,0
m1-1tenant,b,s1,50,300.07,176576,0,81,136,153,184,588.4493618155764,0
m2-5pct,b,s1,50,300.123,114031,0,128,247,282,349,379.94755483585067,0
m3-50pct,b,s1,50,300.058,249091,0,42,131,158,209,830.1428390511168,0
m4-50pct-b,b,s1,50,300.051,253794,0,41,128,155,205,845.8362078446664,0
mixed-10vu,b,s1,10,900.103,101097,0,74,164,206,317,112.31714592663285,1.9786444440247395
mixed-50vu,b,s1,50,900.28,115478,0,159,778,1406,4072,128.26898298307194,2.2558983871684366
mixed-100vu,b,s1,100,900.477,133876,0,334,946,2547,7251,148.67231478427544,2.576752321269727
