workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,b,s1,1,120.001,17597,0,6,9,10,13,146.64044466296113,24.18546512112399
w2-10vu,b,s1,10,120.015,118278,0,8,12,14,72,985.5268091488564,162.49993750781152
w2-50vu,b,s1,50,120.016,169319,0,31,52,69,174,1410.8035595253966,229.8191074523397
q-time-1h-10vu,b,s1,10,120.096,13640,0,86,140,160,201,113.57580602184919,0
q-time-24h-10vu,b,s1,10,120.13,14246,0,83,133,152,188,118.58819612086906,0
q-time-7d-10vu,b,s1,10,120.069,14034,0,83,135,153,191,116.88279239437323,0
q-id-10vu,b,s1,10,120.088,11192,0,93,185,214,271,93.1983212310972,0
q-conv-clustered-10vu,b,s2,10,120.452,4207,0,234,556,650,921,34.92677581111148,0
q-conv-scattered-10vu,b,s2,10,121.835,865,0,1294,2612,2938,3439,7.0997660770714495,0
w1-1vu,b,s2,1,120.057,2304,0,51,75,79,86,19.190884329943277,0.4165971163697244
w1-10vu,b,s2,10,120.064,19405,0,61,88,94,108,161.62213486140726,3.4912180170575695
w1-50vu,b,s2,50,120.143,35488,0,168,242,258,289,295.3813372397893,6.377435223025894
q-time-1h-10vu-s2,b,s2,10,120.025,55820,14,22,29,32,39,465.0697771297646,0
q-time-24h-10vu-s2,b,s2,10,120.016,53155,3,23,31,34,41,442.8992800959872,0
q-time-7d-10vu-s2,b,s2,10,120.023,51698,9,23,32,35,43,430.7341092957183,0
q-id-10vu-s2,b,s2,10,120.201,8672,0,110,297,352,454,72.14582241412302,0
m1-1tenant,b,s1,50,300.142,83239,0,175,290,321,377,277.33206282359686,0
m2-5pct,b,s1,50,300.057,125487,0,118,226,255,309,418.2105399974005,0
m3-50pct,b,s1,50,300.07,207226,0,30,186,222,285,690.592195154464,0
m4-50pct-b,b,s1,50,300.05,195985,0,31,197,235,306,653.174470921513,0
mixed-10vu,b,s1,10,900.164,89414,0,89,180,221,325,99.33078861185295,1.807885674166041
mixed-50vu,b,s1,50,900.399,114738,0,131,784,1436,4815,127.43017262347026,2.2452519383073506
mixed-100vu,b,s1,100,900.631,115550,0,377,1119,3115,8258,128.29893707855936,2.247193134591192
