workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.006,17548,0,6,9,10,13,146.22602203223173,24.14500108327917
w2-10vu,a,s1,10,120.005,123387,0,8,12,14,63,1028.1821590767051,169.5170201241615
w2-50vu,a,s1,50,120.022,181449,0,30,49,59,86,1511.797837063205,247.60573061605373
q-time-1h-10vu,a,s1,10,120.089,21364,0,53,86,100,131,177.9013898025631,0
q-time-24h-10vu,a,s1,10,120.07,22332,0,51,81,93,120,185.99150495544268,0
q-time-7d-10vu,a,s1,10,120.043,23586,0,48,77,89,119,196.47959481185907,0
q-id-10vu,a,s1,10,120.047,34139,0,31,54,65,85,284.3802843886145,0
q-conv-clustered-10vu,a,s2,10,120.127,16448,0,54,151,190,266,136.92175780632164,0
q-conv-scattered-10vu,a,s2,10,120.395,3710,0,286,560,668,867,30.815233190747126,0
w1-1vu,a,s2,1,120.018,2605,0,46,65,69,73,21.70507757169758,0.46675165391857887
w1-10vu,a,s2,10,120.072,20766,0,58,82,87,98,172.9462322606436,3.727338596841895
w1-50vu,a,s2,50,120.11,38581,0,153,228,247,273,321.2138872700025,6.945037049371409
q-time-1h-10vu-s2,a,s2,10,120.035,76107,27,15,23,26,33,634.04007164577,0
q-time-24h-10vu-s2,a,s2,10,120.008,76565,36,15,23,26,32,637.9991333911073,0
q-time-7d-10vu-s2,a,s2,10,120.012,74522,10,16,23,26,33,620.9545712095457,0
q-id-10vu-s2,a,s2,10,120.051,25985,0,42,90,108,142,216.44967555455597,0
m1-1tenant,a,s1,50,300.077,162293,0,90,145,162,193,540.8378516180846,0
m2-5pct,a,s1,50,300.042,228816,0,40,156,185,239,762.6132341472195,0
m3-50pct,a,s1,50,300.045,355759,0,34,81,99,136,1185.6854805112566,0
mixed-10vu,a,s1,10,900.11,121414,0,63,142,168,242,134.88795813844973,2.382754996611525
mixed-50vu,a,s1,50,900.196,326617,0,79,257,376,1260,362.828761736333,6.377729516683034
mixed-100vu,a,s1,100,900.162,496776,0,96,203,608,2051,551.8739960140508,9.642035100348604
