workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,b,s1,1,120.006,16193,0,7,10,11,14,134.93491992067064,22.735446561005283
w2-10vu,b,s1,10,120.006,127749,0,8,12,14,39,1064.5217739113045,175.2496958485409
w2-50vu,b,s1,50,120.02,169793,0,32,51,62,90,1414.7058823529412,231.8502749541743
q-time-1h-10vu,b,s1,10,120.079,19020,0,59,101,118,151,158.39572281581295,0
q-time-24h-10vu,b,s1,10,120.047,19750,0,58,98,112,149,164.51889676543354,0
q-time-7d-10vu,b,s1,10,120.077,18990,0,58,105,123,165,158.14852136545716,0
q-id-10vu,b,s1,10,120.1,10739,0,97,199,232,290,89.41715237302249,0
q-conv-clustered-10vu,b,s2,10,120.378,2004,0,594,1187,1355,1876,16.64756018541594,0
q-conv-scattered-10vu,b,s2,10,122.359,421,0,2674,4974,5570,7877,3.4406950040454727,0
w1-1vu,b,s2,1,120.06,2293,0,53,74,78,83,19.09878394136265,0.41729801765783775
w1-10vu,b,s2,10,120.077,20009,0,59,86,92,103,166.63474270676318,3.5875546524313564
w1-50vu,b,s2,50,120.097,37174,0,159,238,258,286,309.53312738869414,6.688438512202636
q-time-1h-10vu-s2,b,s2,10,120.032,58231,19,18,33,39,53,485.1289656091709,0
q-time-24h-10vu-s2,b,s2,10,120.05,57066,15,18,33,39,54,475.3519366930446,0
q-time-7d-10vu-s2,b,s2,10,120.03,54565,8,19,34,41,55,454.59468466216777,0
q-id-10vu-s2,b,s2,10,120.136,8863,0,110,287,343,440,73.77472198175401,0
m1-1tenant,b,s1,50,300.131,66433,0,220,355,396,472,221.34667861700393,0
m2-5pct,b,s1,50,300.116,123135,0,123,225,253,308,410.2913540097829,0
m3-50pct,b,s1,50,300.089,215264,0,34,171,201,259,717.3338576222387,0
m4-50pct-b,b,s1,50,300.08,215711,0,34,171,202,256,718.8449746734204,0
mixed-10vu,b,s1,10,900.18,96260,0,83,165,202,307,106.9341687218112,1.852617476504699
mixed-50vu,b,s1,50,900.316,134380,0,136,664,1144,3572,149.25870472145334,2.547520204017256
mixed-100vu,b,s1,100,900.589,133296,0,336,931,2468,7398,148.00980247371442,2.5333025386719137
