workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,b,s1,1,120.001,17131,0,6,10,11,14,142.75714369046923,23.260181165156958
w2-10vu,b,s1,10,120.007,127611,0,8,12,14,37,1063.3629704933878,173.52908580332814
w2-50vu,b,s1,50,120.021,166462,0,32,52,63,89,1386.9406187250565,229.50079569408686
q-time-1h-10vu,b,s1,10,120.084,20757,0,45,115,129,170,172.85400219846107,0
q-time-24h-10vu,b,s1,10,120.135,20941,0,43,119,135,185,174.31223207225204,0
q-time-7d-10vu,b,s1,10,120.067,23255,0,41,115,127,175,193.68352669759386,0
q-id-10vu,b,s1,10,120.069,10960,0,97,190,217,273,91.28084684639666,0
q-conv-clustered-10vu,b,s2,10,120.617,2466,0,498,998,1163,1565,20.444879245877445,0
q-conv-scattered-10vu,b,s2,10,120.938,529,0,2184,4099,4567,5696,4.37414212240983,0
w1-1vu,b,s2,1,120.01,2421,0,50,70,72,77,20.173318890092492,0.4463811349054245
w1-10vu,b,s2,10,120.073,20291,0,59,85,90,103,168.9888651070599,3.6547133826921954
w1-50vu,b,s2,50,120.123,37090,0,159,238,257,286,308.7668473148356,6.673847639502843
q-time-1h-10vu-s2,b,s2,10,120.034,42915,22,27,38,42,50,357.5237016178749,0
q-time-24h-10vu-s2,b,s2,10,120.027,41490,16,27,40,44,53,345.6722237496563,0
q-time-7d-10vu-s2,b,s2,10,120.022,39617,4,29,42,46,56,330.0811517888387,0
q-id-10vu-s2,b,s2,10,120.261,8442,0,115,306,364,460,70.19732082720084,0
m1-1tenant,b,s1,50,300.096,92102,0,157,265,296,353,306.9084559607592,0
m2-5pct,b,s1,50,300.107,114047,0,130,250,283,342,380.02112579846516,0
m3-50pct,b,s1,50,300.098,209945,0,35,178,214,277,699.588134542716,0
m4-50pct-b,b,s1,50,300.06,210081,0,34,179,214,276,700.129974005199,0
mixed-10vu,b,s1,10,900.074,97521,0,81,165,203,298,108.3477580732251,1.9140326239842502
mixed-50vu,b,s1,50,900.154,131352,0,137,683,1152,3903,145.92169784281356,2.5349109152433917
mixed-100vu,b,s1,100,900.646,129840,0,338,942,2580,7580,144.16318953284642,2.4299156383307094
