workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.007,20013,0,5,8,9,12,166.76527202579848,26.95626088478172
w2-10vu,a,s1,10,120.007,128827,0,7,11,13,64,1073.4957127500895,176.33900522469523
w2-50vu,a,s1,50,120.019,185954,0,30,47,57,84,1549.3713495363234,254.63909880935518
q-time-1h-10vu,a,s1,10,120.047,22751,0,49,93,108,144,189.51743900305715,0
q-time-24h-10vu,a,s1,10,120.05,25045,0,47,83,93,125,208.62140774677218,0
q-time-7d-10vu,a,s1,10,120.043,24747,0,47,80,90,116,206.15112917871096,0
q-id-10vu,a,s1,10,120.024,32863,0,33,57,67,89,273.8035726188096,0
q-conv-clustered-10vu,a,s2,10,120.127,15937,0,58,151,185,255,132.6679264445129,0
q-conv-scattered-10vu,a,s2,10,120.568,3608,0,284,606,721,934,29.925021564594253,0
w1-1vu,a,s2,1,120.018,3610,0,33,47,50,55,30.078821510106817,0.6435151393957573
w1-10vu,a,s2,10,120.053,23229,0,51,74,78,90,193.4895421188975,4.1850266132458165
w1-50vu,a,s2,50,120.125,39425,0,151,217,230,253,328.19979188345474,7.104306347554631
q-time-1h-10vu-s2,a,s2,10,120.01,87654,30,13,21,23,29,730.3891342388134,0
q-time-24h-10vu-s2,a,s2,10,120.015,87012,23,13,21,23,29,725.0093738282715,0
q-time-7d-10vu-s2,a,s2,10,120.01,84984,26,14,21,24,30,708.140988250979,0
q-id-10vu-s2,a,s2,10,120.046,27117,1,41,84,100,133,225.8884094430468,0
m1-1tenant,a,s1,50,300.095,84185,0,173,287,321,382,280.52783285292986,0
m2-5pct,a,s1,50,300.044,308141,0,43,85,101,135,1026.9860420471664,0
m3-50pct,a,s1,50,300.06,255774,0,44,121,149,208,852.4095180963807,0
mixed-10vu,a,s1,10,900.129,120423,0,65,140,165,235,133.78415760407674,2.411045972299526
mixed-50vu,a,s1,50,900.153,331304,0,76,253,370,1294,368.0529865478424,6.481118654273218
mixed-100vu,a,s1,100,900.175,474705,0,100,222,524,2143,527.3474602160692,9.238536284611326
