workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,b,s1,1,120.002,17670,0,6,9,10,13,147.24754587423544,24.653755770737153
w2-10vu,b,s1,10,120.008,120650,0,8,12,14,73,1005.3496433571096,165.59329378041463
w2-50vu,b,s1,50,120.013,171473,0,30,52,68,170,1428.7868814211793,234.21162707373367
q-time-1h-10vu,b,s1,10,120.1,17067,0,60,136,148,202,142.10657785179018,0
q-time-24h-10vu,b,s1,10,120.101,17863,0,54,135,146,194,148.73314959908743,0
q-time-7d-10vu,b,s1,10,120.121,16968,0,58,137,151,206,141.25756528833426,0
q-id-10vu,b,s1,10,120.094,11633,0,91,177,205,256,96.86578846570187,0
q-conv-clustered-10vu,b,s2,10,120.349,3563,0,271,664,837,1144,29.605563818561016,0
q-conv-scattered-10vu,b,s2,10,121.652,746,0,1442,3043,3503,4708,6.132246078979383,0
w1-1vu,b,s2,1,120.031,2498,0,48,68,72,76,20.811290416642365,0.4516249968758071
w1-10vu,b,s2,10,120.047,19839,0,60,87,93,105,165.2602730597183,3.565103667730139
w1-50vu,b,s2,50,120.116,37503,0,158,231,248,274,312.22318425521996,6.746078790502514
q-time-1h-10vu-s2,b,s2,10,120.035,46388,13,26,38,43,52,386.45395093097846,0
q-time-24h-10vu-s2,b,s2,10,120.017,46650,3,26,38,43,52,388.6949348842247,0
q-time-7d-10vu-s2,b,s2,10,120.027,43904,4,27,40,46,56,365.78436518450013,0
q-id-10vu-s2,b,s2,10,120.239,9000,0,109,283,337,436,74.8509219138549,0
m1-1tenant,b,s1,50,300.121,95748,0,152,251,279,331,319.0313240326402,0
m2-5pct,b,s1,50,300.079,114492,0,130,248,279,333,381.53952792431323,0
m3-50pct,b,s1,50,300.063,190305,0,40,195,233,301,634.2168144689615,0
m4-50pct-b,b,s1,50,300.074,191464,0,39,195,233,300,638.0559461999374,0
mixed-10vu,b,s1,10,900.076,99898,0,79,160,198,291,110.988405423542,1.9167559183891139
mixed-50vu,b,s1,50,900.205,131499,0,125,681,1354,3812,146.07672696774623,2.593061580417794
mixed-100vu,b,s1,100,900.471,126429,0,323,1054,3006,7545,140.40318899775784,2.489875853858703
