workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,b,s1,1,120.001,16834,0,6,10,10,13,140.28216431529736,22.65518620678161
w2-10vu,b,s1,10,120.008,118450,0,8,12,14,75,987.0175321645224,162.36917538830744
w2-50vu,b,s1,50,120.074,169836,0,30,52,68,178,1414.4277695421158,232.38740276829287
q-time-1h-10vu,b,s1,10,120.121,14821,0,73,136,158,203,123.38392121277712,0
q-time-24h-10vu,b,s1,10,120.065,15079,0,73,130,153,191,125.5903052513222,0
q-time-7d-10vu,b,s1,10,120.097,14669,0,72,141,164,209,122.14293446131045,0
q-id-10vu,b,s1,10,120.075,11328,0,93,185,211,266,94.34103685196752,0
q-conv-clustered-10vu,b,s2,10,120.313,3712,0,257,628,814,1096,30.852858793314105,0
q-conv-scattered-10vu,b,s2,10,121.42,790,0,1366,2754,3437,4595,6.5063416241146435,0
w1-1vu,b,s2,1,120.007,2153,0,56,80,84,89,17.940620130492388,0.39262876332213953
w1-10vu,b,s2,10,120.073,19260,0,62,89,95,108,160.40242186003516,3.4588758505242643
w1-50vu,b,s2,50,120.119,36935,0,162,232,246,269,307.48674231387207,6.652934173611169
q-time-1h-10vu-s2,b,s2,10,120.045,53731,15,21,33,36,46,447.59048690074553,0
q-time-24h-10vu-s2,b,s2,10,120.022,51371,10,22,38,42,51,428.01319758044355,0
q-time-7d-10vu-s2,b,s2,10,120.03,49329,0,23,38,43,52,410.97225693576604,0
q-id-10vu-s2,b,s2,10,120.136,9052,0,109,279,337,436,75.34793900246387,0
m1-1tenant,b,s1,50,300.071,164501,0,88,147,164,196,548.2069243612344,0
m2-5pct,b,s1,50,300.098,132529,0,110,212,239,288,441.6190711034395,0
m3-50pct,b,s1,50,300.052,227676,0,46,142,178,252,758.7884766640449,0
m4-50pct-b,b,s1,50,300.05,232491,0,46,139,172,239,774.8408598566905,0
mixed-10vu,b,s1,10,900.091,97755,0,80,165,204,304,108.60568542514035,1.8361512335974919
mixed-50vu,b,s1,50,900.41,127138,0,131,700,1460,3944,141.20011994535824,2.3840668140069523
mixed-100vu,b,s1,100,900.374,128650,0,334,989,2898,7532,142.88506776073055,2.521741853940696
