seq,workload,strategy,tenant_id,key,latency_ms,output_rows,files,file_ranges,build_parts_cost,scan_cost,elapsed_await,finish_time
10,q-conv-clustered,b,a89d72ec-512f-4655-8c37-b30e5c5e8ec2,6eee1190-a8ef-4393-bde1-f451930fe5c1,112,8,82,585,16ms,290ms,54ms,99ms
30,q-conv-clustered,b,a89d72ec-512f-4655-8c37-b30e5c5e8ec2,3e9c8895-e8ba-4207-97c3-780b695ff09e,49,17,82,585,10ms,90ms,25ms,44ms
40,q-conv-clustered,b,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,b9c1e528-6cb6-44a0-a5b7-472d1c76a205,35,12,82,585,13ms,85ms,38ms,31ms
20,q-conv-clustered,b,c8b9a016-520f-4f67-a382-3a944aa907fb,86081287-43ae-4807-a99b-dec1ef93cc46,310,8,80,583,10.0ms,536ms,206ms,306ms
50,q-conv-clustered,b,a89d72ec-512f-4655-8c37-b30e5c5e8ec2,f2f1820d-b0d7-4393-9e45-e71facb46512,35,10,82,585,12ms,66ms,23ms,30ms
60,q-conv-clustered,b,11eaa9c3-4b8f-45e3-b426-78c6d8e7e252,abbcad05-a8dd-4944-ad4b-dad4c6f777d1,71,12,80,583,13ms,203ms,98ms,67ms
80,q-conv-clustered,b,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,7c00c4d8-d600-4d38-aafa-a466d6fa60be,58,11,82,585,11ms,142ms,40ms,54ms
70,q-conv-clustered,b,34d23bae-68b6-4c1a-b15c-043c8f1c52b9,a046fa5e-fa30-4e01-b066-742b50208e75,197,10,82,584,9.4ms,238ms,48ms,192ms
90,q-conv-clustered,b,68b4d330-7ca0-476a-b224-b26bc3176700,0f3b17da-f8ec-48d3-aae6-e16c25ddf6b6,232,12,80,583,11ms,557ms,142ms,227ms
100,q-conv-clustered,b,c8b9a016-520f-4f67-a382-3a944aa907fb,41827eea-915f-45a7-b6bd-af04f73fd1ee,104,15,80,583,44ms,237ms,71ms,100ms
