workload,sample,strategy,concurrency,tenant_id,conversation_id,latency_ms,output_rows,files,file_ranges,build_parts_cost,scan_cost,elapsed_await,finish_time
q-conv-scattered,0,b,10,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,c8f46771-7d61-4ded-985f-a2d550abc5a4,463,24,82,585,13ms,1.21s,1.04s,455ms
q-conv-scattered,1,b,10,11eaa9c3-4b8f-45e3-b426-78c6d8e7e252,ec61e741-02ab-4c65-a438-e4f2885903b3,300,14,80,583,15ms,617ms,527ms,294ms
q-conv-scattered,2,b,10,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,7e38feb4-9e52-43f5-8296-b8603cae46d4,343,21,82,585,11ms,768ms,671ms,337ms
q-conv-scattered,3,b,10,34d23bae-68b6-4c1a-b15c-043c8f1c52b9,e74e0569-d80c-4e9a-9e52-f36d391cf604,807,22,82,584,15ms,2.37s,1.83s,801ms
q-conv-scattered,4,b,10,eee42173-a8dc-4a3f-be3d-79f44dada5b3,16535322-e9f0-440f-8f50-b5a91903e68b,149,20,80,583,12ms,370ms,335ms,145ms
q-conv-scattered,5,b,10,d0e931bf-8378-4377-b448-32cdcd142fca,2d153dc9-0828-4df2-a90e-8f19c41bb2d0,247,23,80,582,12ms,723ms,709ms,242ms
q-conv-scattered,6,b,10,d0e931bf-8378-4377-b448-32cdcd142fca,befbdabb-c6aa-4a9e-b70a-3d1609f1e7ad,277,25,80,582,16ms,740ms,692ms,272ms
q-conv-scattered,7,b,10,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,96e5af87-c586-43f8-84c8-61ed522dce6a,266,26,82,585,12ms,502ms,460ms,262ms
q-conv-scattered,8,b,10,93d95799-3257-409f-9a1f-c4e6b1acbac7,ee3e4b8f-f089-4982-a5ad-4a8f4b930100,495,20,80,582,15ms,1.22s,1.20s,488ms
q-conv-scattered,9,b,10,11eaa9c3-4b8f-45e3-b426-78c6d8e7e252,6ec77de4-90a7-4e04-a109-c9850fceb461,674,21,80,583,11ms,1.94s,1.82s,668ms
q-conv-scattered,10,b,10,11eaa9c3-4b8f-45e3-b426-78c6d8e7e252,3ecd194f-134c-4156-9343-74e2ad8e6dad,837,32,80,583,12ms,2.30s,2.26s,831ms
q-conv-scattered,11,b,10,68b4d330-7ca0-476a-b224-b26bc3176700,d8ff98c5-fed0-45d4-bdd1-c385652e5b40,173,26,80,583,13ms,417ms,399ms,169ms
q-conv-scattered,12,b,10,d0e931bf-8378-4377-b448-32cdcd142fca,6cd964b9-eef9-4235-a740-bf594b99dbe0,1425,27,80,582,20ms,2.60s,2.33s,1.42s
q-conv-scattered,13,b,10,d0e931bf-8378-4377-b448-32cdcd142fca,0e53933f-65e6-43d2-9730-c93b19635a04,695,18,80,582,12ms,1.61s,1.31s,690ms
q-conv-scattered,14,b,10,93d95799-3257-409f-9a1f-c4e6b1acbac7,acf427ad-6f54-4740-b960-4357559464fa,240,21,80,582,23ms,764ms,750ms,236ms
q-conv-scattered,15,b,10,d0e931bf-8378-4377-b448-32cdcd142fca,c22b789b-4582-4958-a82e-a1dc6a05d947,744,16,80,582,11ms,2.25s,2.17s,740ms
q-conv-scattered,16,b,10,c44dc1fc-8f74-43dd-9566-d8b2be710def,d4560d0a-e2c1-4d4e-9d51-f17a8907fc70,915,25,80,583,14ms,2.00s,1.91s,911ms
q-conv-scattered,17,b,10,eee42173-a8dc-4a3f-be3d-79f44dada5b3,49209f53-8ad4-4134-8f55-5eca0675c199,158,23,80,583,11ms,432ms,416ms,155ms
q-conv-scattered,18,b,10,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,a011cd2d-8de2-45f7-b599-144e5588d963,214,16,82,585,12ms,529ms,465ms,210ms
q-conv-scattered,19,b,10,34d23bae-68b6-4c1a-b15c-043c8f1c52b9,590fb559-df92-4dfd-bf06-a85926091d00,720,23,82,584,12ms,1.87s,1.72s,716ms
