workload,sample,strategy,key,output_rows,files,file_ranges,build_parts_cost,scan_cost,elapsed_await,finish_time
q-conv-clustered,0,a,423a5f4c-15bb-48df-a983-ceae6bb991e2,13,74,75,3.2ms,80ms,18ms,26ms
q-conv-clustered,0,b,423a5f4c-15bb-48df-a983-ceae6bb991e2,16,80,582,5.0ms,93ms,35ms,77ms
q-conv-clustered,1,a,413a5cdf-15bb-4350-a86e-db1ca95487c3,5,74,75,2.5ms,146ms,33ms,61ms
q-conv-clustered,1,b,413a5cdf-15bb-4350-a86e-db1ca95487c3,12,80,582,5.3ms,101ms,41ms,52ms
q-conv-clustered,2,a,443a5ba6-15bb-40cf-9d3b-d6c899018d6e,9,74,75,3.4ms,39ms,19ms,25ms
q-conv-clustered,2,b,443a5ba6-15bb-40cf-9d3b-d6c899018d6e,13,80,582,4.9ms,46ms,12ms,29ms
q-conv-clustered,3,a,433a5931-15bb-45bb-8bab-80f5c891d9c4,11,74,75,2.7ms,57ms,8.3ms,40ms
q-conv-clustered,3,b,433a5931-15bb-45bb-8bab-80f5c891d9c4,5,80,582,5.2ms,51ms,14ms,32ms
q-conv-clustered,4,a,3e3a5110-15bb-41f3-911d-6ec12f273fd1,13,74,75,3.0ms,57ms,23ms,58ms
q-conv-clustered,4,b,3e3a5110-15bb-41f3-911d-6ec12f273fd1,4,80,582,4.2ms,70ms,15ms,38ms
q-conv-scattered,0,a,34e0c214-078c-448c-ab68-d5d99f8817cd,18,74,75,2.4ms,294ms,244ms,125ms
q-conv-scattered,0,b,34e0c214-078c-448c-ab68-d5d99f8817cd,19,80,582,6.9ms,325ms,268ms,120ms
q-conv-scattered,1,a,35e0c0a7-078c-4020-b993-3e6e8c73fec9,20,74,75,3.2ms,294ms,242ms,100ms
q-conv-scattered,1,b,35e0c0a7-078c-4020-b993-3e6e8c73fec9,18,80,582,7.4ms,392ms,343ms,170ms
q-conv-scattered,2,a,36e0cf32-078c-441f-8b4c-f03fbdac3f0d,22,74,75,3.7ms,365ms,331ms,189ms
q-conv-scattered,2,b,36e0cf32-078c-441f-8b4c-f03fbdac3f0d,21,80,582,6.7ms,335ms,276ms,131ms
q-conv-scattered,3,a,37e0cddd-078c-493f-aea5-a1e619456c3b,19,74,75,5.1ms,289ms,258ms,128ms
q-conv-scattered,3,b,37e0cddd-078c-493f-aea5-a1e619456c3b,13,80,582,5.7ms,311ms,235ms,95ms
q-conv-scattered,4,a,38e0cc68-078c-424b-b9a3-1f1dc143d375,18,74,75,4.0ms,271ms,242ms,111ms
q-conv-scattered,4,b,38e0cc68-078c-424b-b9a3-1f1dc143d375,21,80,582,7.4ms,466ms,396ms,198ms
q-id-s2,0,a,34e0c214-078c-448c-ab68-d5d99f8817cd,18,74,75,4.4ms,60ms,57ms,28ms
q-id-s2,0,b,34e0c214-078c-448c-ab68-d5d99f8817cd,19,80,582,5.9ms,122ms,106ms,48ms
q-id-s2,1,a,35e0c0a7-078c-4020-b993-3e6e8c73fec9,20,74,75,4.0ms,46ms,43ms,21ms
q-id-s2,1,b,35e0c0a7-078c-4020-b993-3e6e8c73fec9,18,80,582,6.2ms,143ms,126ms,55ms
q-id-s2,2,a,36e0cf32-078c-441f-8b4c-f03fbdac3f0d,22,74,75,3.7ms,67ms,65ms,25ms
q-id-s2,2,b,36e0cf32-078c-441f-8b4c-f03fbdac3f0d,21,80,582,5.6ms,102ms,91ms,39ms
q-id-s2,3,a,37e0cddd-078c-493f-aea5-a1e619456c3b,19,74,75,3.7ms,62ms,55ms,25ms
q-id-s2,3,b,37e0cddd-078c-493f-aea5-a1e619456c3b,13,80,582,5.8ms,106ms,99ms,40ms
q-id-s2,4,a,38e0cc68-078c-424b-b9a3-1f1dc143d375,18,74,75,4.0ms,53ms,45ms,22ms
q-id-s2,4,b,38e0cc68-078c-424b-b9a3-1f1dc143d375,21,80,582,6.6ms,144ms,138ms,62ms
m1-qtime-s1-24h,0,a,2026-05-07T04:47:43.965Z,50,8,8,824us,31ms,31ms,16ms
m1-qtime-s1-24h,0,b,2026-05-07T04:47:43.965Z,50,7,7,19ms,73ms,73ms,29ms
m1-qtime-s1-24h,1,a,2026-05-07T04:47:43.965Z,50,8,8,769us,20ms,15ms,10ms
m1-qtime-s1-24h,1,b,2026-05-07T04:47:43.965Z,50,7,7,1.3ms,41ms,42ms,26ms
m1-qtime-s1-24h,2,a,2026-05-07T04:47:43.965Z,50,8,8,705us,19ms,15ms,10ms
m1-qtime-s1-24h,2,b,2026-05-07T04:47:43.965Z,50,7,7,1.1ms,35ms,36ms,18ms
m1-qtime-s1-24h,3,a,2026-05-07T04:47:43.965Z,50,8,8,741us,21ms,15ms,10ms
m1-qtime-s1-24h,3,b,2026-05-07T04:47:43.965Z,50,7,7,1.0ms,34ms,35ms,17ms
m1-qtime-s1-24h,4,a,2026-05-07T04:47:43.965Z,50,8,8,716us,14ms,15ms,10.0ms
m1-qtime-s1-24h,4,b,2026-05-07T04:47:43.965Z,50,7,7,1.2ms,37ms,37ms,20ms
