workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,121.275,17760,0,6,9,10,13,146.44403215831787,24.23294166151309
w2-10vu,a,s1,10,120.006,113497,0,9,13,15,67,945.7610452810693,154.60089495525224
w2-50vu,a,s1,50,120.017,185132,0,30,47,58,88,1542.5481390136397,249.79173783713975
q-time-1h-10vu,a,s1,10,120.104,15436,0,73,126,147,187,128.521947645374,0
q-time-24h-10vu,a,s1,10,120.055,17762,0,64,105,119,156,147.94885677397858,0
q-time-7d-10vu,a,s1,10,120.072,17800,0,63,105,118,154,148.24438670131255,0
q-id-10vu,a,s1,10,120.015,33929,0,30,59,70,89,282.7063283756197,0
q-conv-clustered-10vu,a,s2,10,120.058,43594,0,22,50,61,85,363.1078312149128,0
q-conv-scattered-10vu,a,s2,10,120.079,8077,0,129,283,312,365,67.26405116631551,0
w1-1vu,a,s2,1,120.007,2580,0,46,65,71,79,21.498745906488786,0.4609514444990709
w1-10vu,a,s2,10,120.061,21567,0,55,80,85,95,179.63368620951016,3.8886749235805134
w1-50vu,a,s2,50,120.1,43123,0,138,200,215,239,359.0591174021649,7.777961698584513
q-time-1h-10vu-s2,a,s2,10,120.022,72857,38,16,25,28,34,607.0303777640765,0
q-time-24h-10vu-s2,a,s2,10,120.01,73404,40,16,24,27,34,611.6490292475627,0
q-time-7d-10vu-s2,a,s2,10,120.021,74445,38,16,24,27,33,620.2664533706601,0
q-id-10vu-s2,a,s2,10,120.069,23118,0,41,113,134,167,192.53928990830272,0
m1-1tenant,a,s1,50,300.05,172119,0,85,138,153,183,573.634394267622,0
m2-5pct,a,s1,50,300.047,273857,0,42,117,140,179,912.7136748576056,0
m3-50pct,a,s1,50,300.039,378837,0,24,92,109,142,1262.6258586383772,0
mixed-10vu,a,s1,10,900.081,119257,0,65,141,170,249,132.49585315099418,2.38716804376495
mixed-50vu,a,s1,50,900.163,326144,0,76,259,360,1391,362.3166026597405,6.31396335996925
mixed-100vu,a,s1,100,900.16,525243,0,92,201,505,1908,583.4996000710985,10.356271996089584
