workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,b,s1,1,120.001,15488,0,6,9,10,14,129.065591120074,20.453829551420405
w2-10vu,b,s1,10,120.006,119401,0,9,13,15,30,994.9585854040631,165.66250854123962
w2-50vu,b,s1,50,120.022,183360,0,30,48,57,86,1527.7199180150305,253.06356334671977
q-time-1h-10vu,b,s1,10,120.607,1385,0,838,1157,1272,1575,11.483578896747286,0
q-time-24h-10vu,b,s1,10,120.544,1531,0,769,1035,1123,1365,12.700756570215026,0
q-time-7d-10vu,b,s1,10,120.514,1527,0,756,1060,1156,1482,12.670727052458636,0
q-id-10vu,b,s1,10,145.567,4,37830,13965,23643,23643,23643,0.027478755487163983,0
q-conv-clustered-10vu,b,s2,10,120.148,4813,0,190,507,615,832,40.05892732296834,0
q-conv-scattered-10vu,b,s2,10,120.309,2356,0,428,955,1132,1531,19.58290734691503,0
w1-1vu,b,s2,1,120.039,2574,0,46,66,69,75,21.44303101492015,0.46322445205308277
w1-10vu,b,s2,10,120.049,23923,0,50,72,76,84,199.27696190722122,4.319684462177944
w1-50vu,b,s2,50,120.094,41178,0,144,211,225,249,342.88140956250936,7.403523906273419
q-time-1h-10vu-s2,b,s2,10,120.011,68500,29,17,26,29,35,570.7810117405904,0
q-time-24h-10vu-s2,b,s2,10,120.014,69162,22,16,25,28,35,576.2827670105155,0
q-time-7d-10vu-s2,b,s2,10,120.012,69455,23,16,25,28,34,578.7337932873379,0
q-id-10vu-s2,b,s2,10,120.333,3427,0,212,890,1163,1609,28.479303266768053,0
m1-1tenant,b,s1,50,300.414,8804,0,1516,2955,3456,4503,29.3062240774398,0
m2-5pct,b,s1,50,300.266,17106,0,858,1211,1330,1538,56.969487054811395,0
m3-50pct,b,s1,50,300.511,17417,0,840,1189,1300,1538,57.95794496707275,0
m4-50pct-b,b,s1,50,300.279,20791,0,702,940,1037,1268,69.2389411180935,0
mixed-10vu,b,s1,10,900.505,3534,66280,176,622,945,2420,3.924464605971094,0.30203141570563186
mixed-50vu,b,s1,50,900.916,6968,140953,2176,5209,6783,9664,7.73435037228776,0.29068592410391203
mixed-100vu,b,s1,100,935.313,4816,154586,6561,11072,13056,17165,5.149078436844137,0.23495578485490953
