workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.007,17966,0,6,9,10,13,149.70793370386727,24.30716541535077
w2-10vu,a,s1,10,120.007,113424,0,9,13,15,65,945.1448665494512,155.5545509845259
w2-50vu,a,s1,50,120.017,183977,0,30,48,58,85,1532.9245023621654,250.35369989251524
q-time-1h-10vu,a,s1,10,120.062,19872,0,59,102,117,156,165.51448418317204,0
q-time-24h-10vu,a,s1,10,120.064,22003,0,55,88,100,127,183.2605943496802,0
q-time-7d-10vu,a,s1,10,120.058,23344,0,54,86,98,124,194.4393543120825,0
q-id-10vu,a,s1,10,120.027,32278,0,32,62,72,93,268.9228256975514,0
q-conv-clustered-10vu,a,s2,10,120.013,42367,0,22,52,63,86,353.0200894903052,0
q-conv-scattered-10vu,a,s2,10,120.086,8104,0,124,283,313,372,67.4849691054744,0
w1-1vu,a,s2,1,120.005,2793,0,43,61,65,71,23.27403024873964,0.5031573684429815
w1-10vu,a,s2,10,120.055,22025,0,54,78,82,91,183.45758194161007,3.954737412019491
w1-50vu,a,s2,50,120.09,42810,0,138,207,224,248,356.48263802148387,7.692578899158964
q-time-1h-10vu-s2,a,s2,10,120.025,89112,57,12,21,24,31,742.445323890856,0
q-time-24h-10vu-s2,a,s2,10,120.006,90383,57,12,21,24,30,753.1540089662184,0
q-time-7d-10vu-s2,a,s2,10,120.012,86167,27,13,22,25,32,717.9865346798654,0
q-id-10vu-s2,a,s2,10,120.036,23961,1,39,110,130,164,199.6151154653604,0
m1-1tenant,a,s1,50,300.041,192371,0,76,123,136,163,641.1490429641283,0
m2-5pct,a,s1,50,300.052,244122,0,41,143,172,222,813.5989761774625,0
m3-50pct,a,s1,50,300.047,365735,0,22,99,117,150,1218.9257016400763,0
mixed-10vu,a,s1,10,900.132,119004,0,64,145,177,254,132.20727626614763,2.3798309581261416
mixed-50vu,a,s1,50,900.159,324625,0,76,259,359,1387,360.6307330149451,6.259908749454263
mixed-100vu,a,s1,100,900.18,502382,0,96,210,544,1986,558.0906041014019,9.671801861849852
