workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,b,s1,1,120.006,17252,0,6,10,11,14,143.75947869273202,24.04804759762012
w2-10vu,b,s1,10,120.007,118458,0,9,13,15,31,987.0924196088561,161.0121076270551
w2-50vu,b,s1,50,120.01,181711,0,31,49,59,83,1514.1321556536955,250.53512207316058
q-time-1h-10vu,b,s1,10,120.48,1417,0,815,1137,1253,1570,11.76128818061089,0
q-time-24h-10vu,b,s1,10,120.551,1684,0,682,933,1054,1340,13.969191462534528,0
q-time-7d-10vu,b,s1,10,120.47,1646,0,700,994,1109,1344,13.66315265211256,0
q-id-10vu,b,s1,10,138.512,18,17547,9518,18942,20637,20637,0.12995263948249972,0
q-conv-clustered-10vu,b,s2,10,120.068,21528,0,48,91,110,156,179.29839757470768,0
q-conv-scattered-10vu,b,s2,10,120.439,4336,0,242,482,571,762,36.00162737983544,0
w1-1vu,b,s2,1,120.003,2883,0,41,59,61,65,24.02439939001525,0.5254068648283793
w1-10vu,b,s2,10,120.037,24430,0,49,71,74,82,203.52058115414414,4.39340869898448
w1-50vu,b,s2,50,120.111,41197,0,143,214,232,257,342.99106659673134,7.402381130787355
q-time-1h-10vu-s2,b,s2,10,120.016,81476,27,13,23,26,32,678.8761498466871,0
q-time-24h-10vu-s2,b,s2,10,120.016,81590,21,13,23,26,32,679.826023196907,0
q-time-7d-10vu-s2,b,s2,10,120.015,80832,19,14,23,26,33,673.5158105236845,0
q-id-10vu-s2,b,s2,10,120.118,7535,0,108,380,447,564,62.72998218418555,0
m1-1tenant,b,s1,50,300.824,6411,0,2231,3531,4019,4849,21.311464510810307,0
m2-5pct,b,s1,50,300.359,21507,0,683,903,978,1164,71.60431350483921,0
m3-50pct,b,s1,50,300.341,21667,0,679,900,980,1182,72.14133268518117,0
m4-50pct-b,b,s1,50,300.288,22014,0,670,877,946,1129,73.30962276214834,0
mixed-10vu,b,s1,10,902.141,4646,52519,202,713,1204,9744,5.149971013400345,0.3351312045456309
mixed-50vu,b,s1,50,901.957,6687,139600,2371,5263,7028,10349,7.413878932144216,0.2587486986630183
mixed-100vu,b,s1,100,902.267,4630,158377,6868,11134,12387,15671,5.13151871896013,0.2565703943511178
