workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.007,17966,0,6,9,10,13,149.70793370386727,24.30716541535077
w2-10vu,a,s1,10,120.007,113424,0,9,13,15,65,945.1448665494512,155.5545509845259
w2-50vu,a,s1,50,120.017,183977,0,30,48,58,85,1532.9245023621654,250.35369989251524
q-time-1h-10vu,a,s1,10,120.062,19872,0,59,102,117,156,165.51448418317204,0
q-time-24h-10vu,a,s1,10,120.064,22003,0,55,88,100,127,183.2605943496802,0
q-time-7d-10vu,a,s1,10,120.058,23344,0,54,86,98,124,194.4393543120825,0
q-id-10vu,a,s1,10,120.027,32278,0,32,62,72,93,268.9228256975514,0
q-conv-clustered-10vu,a,s2,10,120.013,42367,0,22,52,63,86,353.0200894903052,0
q-conv-scattered-10vu,a,s2,10,120.086,8104,0,124,283,313,372,67.4849691054744,0
w1-1vu,a,s2,1,120.005,2793,0,43,61,65,71,23.27403024873964,0.5031573684429815
w1-10vu,a,s2,10,120.055,22025,0,54,78,82,91,183.45758194161007,3.954737412019491
w1-50vu,a,s2,50,120.09,42810,0,138,207,224,248,356.48263802148387,7.692578899158964
q-time-1h-10vu-s2,a,s2,10,120.025,89112,57,12,21,24,31,742.445323890856,0
q-time-24h-10vu-s2,a,s2,10,120.006,90383,57,12,21,24,30,753.1540089662184,0
q-time-7d-10vu-s2,a,s2,10,120.012,86167,27,13,22,25,32,717.9865346798654,0
q-id-10vu-s2,a,s2,10,120.036,23961,1,39,110,130,164,199.6151154653604,0
m1-1tenant,a,s1,50,300.041,192371,0,76,123,136,163,641.1490429641283,0
m2-5pct,a,s1,50,300.052,244122,0,41,143,172,222,813.5989761774625,0
m3-50pct,a,s1,50,300.047,365735,0,22,99,117,150,1218.9257016400763,0
mixed-10vu,a,s1,10,900.132,119004,0,64,145,177,254,132.20727626614763,2.3798309581261416
mixed-50vu,a,s1,50,900.159,324625,0,76,259,359,1387,360.6307330149451,6.259908749454263
mixed-100vu,a,s1,100,900.18,502382,0,96,210,544,1986,558.0906041014019,9.671801861849852
w2-1vu,b,s1,1,120.006,17252,0,6,10,11,14,143.75947869273202,24.04804759762012
w2-10vu,b,s1,10,120.007,118458,0,9,13,15,31,987.0924196088561,161.0121076270551
w2-50vu,b,s1,50,120.01,181711,0,31,49,59,83,1514.1321556536955,250.53512207316058
q-time-1h-10vu,b,s1,10,120.48,1417,0,815,1137,1253,1570,11.76128818061089,0
q-time-24h-10vu,b,s1,10,120.551,1684,0,682,933,1054,1340,13.969191462534528,0
q-time-7d-10vu,b,s1,10,120.47,1646,0,700,994,1109,1344,13.66315265211256,0
q-id-10vu,b,s1,10,138.512,18,17547,9518,18942,20637,20637,0.12995263948249972,0
q-conv-clustered-10vu,b,s2,10,120.068,21528,0,48,91,110,156,179.29839757470768,0
q-conv-scattered-10vu,b,s2,10,120.439,4336,0,242,482,571,762,36.00162737983544,0
w1-1vu,b,s2,1,120.003,2883,0,41,59,61,65,24.02439939001525,0.5254068648283793
w1-10vu,b,s2,10,120.037,24430,0,49,71,74,82,203.52058115414414,4.39340869898448
w1-50vu,b,s2,50,120.111,41197,0,143,214,232,257,342.99106659673134,7.402381130787355
q-time-1h-10vu-s2,b,s2,10,120.016,81476,27,13,23,26,32,678.8761498466871,0
q-time-24h-10vu-s2,b,s2,10,120.016,81590,21,13,23,26,32,679.826023196907,0
q-time-7d-10vu-s2,b,s2,10,120.015,80832,19,14,23,26,33,673.5158105236845,0
q-id-10vu-s2,b,s2,10,120.118,7535,0,108,380,447,564,62.72998218418555,0
m1-1tenant,b,s1,50,300.824,6411,0,2231,3531,4019,4849,21.311464510810307,0
m2-5pct,b,s1,50,300.359,21507,0,683,903,978,1164,71.60431350483921,0
m3-50pct,b,s1,50,300.341,21667,0,679,900,980,1182,72.14133268518117,0
m4-50pct-b,b,s1,50,300.288,22014,0,670,877,946,1129,73.30962276214834,0
mixed-10vu,b,s1,10,902.141,4646,52519,202,713,1204,9744,5.149971013400345,0.3351312045456309
mixed-50vu,b,s1,50,901.957,6687,139600,2371,5263,7028,10349,7.413878932144216,0.2587486986630183
mixed-100vu,b,s1,100,902.267,4630,158377,6868,11134,12387,15671,5.13151871896013,0.2565703943511178
