workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.001,17521,0,6,9,10,13,146.0071166073616,23.744052132898894
w2-10vu,a,s1,10,120.006,115414,0,9,13,14,65,961.7352465710048,157.32525873706314
w2-50vu,a,s1,50,120.021,187015,0,29,48,58,88,1558.1856508444355,258.39073995384143
q-time-1h-10vu,a,s1,10,120.065,19159,0,62,101,115,145,159.5718985549494,0
q-time-24h-10vu,a,s1,10,120.078,21916,0,55,85,98,122,182.5146987791269,0
q-time-7d-10vu,a,s1,10,120.069,21730,0,56,86,98,121,180.97927025293788,0
q-id-10vu,a,s1,10,120.02,34292,0,31,58,68,86,285.71904682552906,0
q-conv-clustered-10vu,a,s2,10,120.021,45823,0,21,47,57,79,381.79151981736527,0
q-conv-scattered-10vu,a,s2,10,120.109,8466,0,123,265,295,349,70.48597523915777,0
w1-1vu,a,s2,1,120.009,2177,0,55,78,81,86,18.14030614370589,0.3941571048838004
w1-10vu,a,s2,10,120.055,21073,0,56,82,87,97,175.52788305360042,3.7868826787722294
w1-50vu,a,s2,50,120.11,43131,0,135,211,230,255,359.0958288235784,7.7562634251935725
q-time-1h-10vu-s2,a,s2,10,120.018,85687,53,13,21,24,30,713.9512406472362,0
q-time-24h-10vu-s2,a,s2,10,120.011,88156,46,13,21,23,29,734.5659981168393,0
q-time-7d-10vu-s2,a,s2,10,120.01,86963,43,13,21,24,30,724.6312807266061,0
q-id-10vu-s2,a,s2,10,120.037,25828,2,38,98,116,146,215.16699017802844,0
m1-1tenant,a,s1,50,300.027,321290,0,45,74,83,99,1070.8702883407161,0
m2-5pct,a,s1,50,300.038,341737,0,38,87,103,133,1138.979062652064,0
m3-50pct,a,s1,50,300.029,374582,0,23,95,113,145,1248.48597968863,0
mixed-10vu,a,s1,10,900.074,120932,0,63,143,172,248,134.35784168857228,2.3041794341354156
mixed-50vu,a,s1,50,900.154,341021,0,75,246,347,1242,378.8473972231418,6.8428106746178985
mixed-100vu,a,s1,100,900.157,539721,0,90,195,480,1870,599.5854056570131,10.440418726955409
