workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,b,s1,1,120.006,16968,0,6,9,10,14,141.3929303534823,23.231213439328034
w2-10vu,b,s1,10,120.006,121557,0,9,13,15,28,1012.9243537823108,165.51164108461245
w2-50vu,b,s1,50,120.01,183481,0,30,49,59,83,1528.8809265894508,250.7958086826098
q-time-1h-10vu,b,s1,10,120.577,1276,0,929,1274,1381,1593,10.582449389186992,0
q-time-24h-10vu,b,s1,10,120.362,1301,0,910,1244,1356,1568,10.809059337664712,0
q-time-7d-10vu,b,s1,10,120.453,1304,0,906,1218,1351,1557,10.825799274405785,0
q-id-10vu,b,s1,10,124.361,0,39020,0,0,0,0,0,0
q-conv-clustered-10vu,b,s2,10,120.283,4423,165,196,567,685,906,36.771613611233505,0
q-conv-scattered-10vu,b,s2,10,120.418,2389,0,405,1001,1200,1527,19.839226693683667,0
w1-1vu,b,s2,1,120.045,2431,0,50,70,73,79,20.250739306093546,0.4373793160897997
w1-10vu,b,s2,10,120.049,23530,0,51,73,77,86,196.00329865305,4.234809119609492
w1-50vu,b,s2,50,120.103,41435,0,141,220,238,261,344.995545490121,7.444864824359092
q-time-1h-10vu-s2,b,s2,10,120.014,75146,31,16,24,27,34,626.1436165780659,0
q-time-24h-10vu-s2,b,s2,10,120.018,75453,17,16,24,27,35,628.6806978953157,0
q-time-7d-10vu-s2,b,s2,10,120.013,75492,30,15,24,27,34,629.0318548823877,0
q-id-10vu-s2,b,s2,10,120.355,3588,0,205,853,1106,1543,29.811806738398904,0
m1-1tenant,b,s1,50,300.626,6307,0,2283,3657,4133,5040,20.97955599316094,0
m2-5pct,b,s1,50,300.579,11099,0,1325,1766,1904,2201,36.92540064342486,0
m3-50pct,b,s1,50,300.43,11087,0,1332,1782,1925,2253,36.90377126119229,0
m4-50pct-b,b,s1,50,300.58,11603,0,1272,1715,1858,2149,38.602036063610356,0
mixed-10vu,b,s1,10,902.646,4179,70254,187,629,931,1988,4.629721950797988,0.36281953279580254
mixed-50vu,b,s1,50,918.735,5935,181089,2645,6291,8859,13685,6.459969414466631,0.2623446369192422
mixed-100vu,b,s1,100,902.362,4220,168273,6924,11196,12962,16787,4.676615371657938,0.2098603442964132
