workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120,18666,0,6,8,9,12,155.55,25.359333333333332
w2-10vu,a,s1,10,120.02,130116,0,7,11,13,73,1084.1193134477587,176.7965755707382
w2-50vu,a,s1,50,120.021,197043,0,28,47,56,81,1641.737695903217,269.6232742603378
q-time-1h-10vu,a,s1,10,120.097,17623,0,60,124,156,221,146.73971872736206,0
q-time-24h-10vu,a,s1,10,120.054,19669,0,57,105,128,166,163.8346077598414,0
q-time-7d-10vu,a,s1,10,120.089,20321,0,54,103,124,167,169.21616467786393,0
q-id-10vu,a,s1,10,120.026,36188,0,29,55,65,82,301.5013413760352,0
q-conv-clustered-10vu,a,s2,10,120.044,47185,0,20,47,56,76,393.06420978974376,0
q-conv-scattered-10vu,a,s2,10,120.086,8601,0,121,260,289,337,71.62366970337925,0
w1-1vu,a,s2,1,120.052,2140,0,56,79,82,88,17.82560890280878,0.38771199147036284
w1-10vu,a,s2,10,120.049,21122,0,56,81,87,99,175.9448225307999,3.7948687619222152
w1-50vu,a,s2,50,120.112,43397,0,132,216,236,265,361.30444918076466,7.800161515918476
q-time-1h-10vu-s2,a,s2,10,120.015,82082,31,14,21,24,28,683.931175269758,0
q-time-24h-10vu-s2,a,s2,10,120.023,79582,23,15,22,24,29,663.0562475525525,0
q-time-7d-10vu-s2,a,s2,10,120.018,62940,8,18,28,32,39,524.4213367994801,0
q-id-10vu-s2,a,s2,10,120.06,25535,0,39,98,118,151,212.68532400466432,0
m1-1tenant,a,s1,50,300.044,167905,0,86,144,159,190,559.6012584820893,0
m2-5pct,a,s1,50,300.068,219611,0,46,161,192,251,731.8707759574497,0
m3-50pct,a,s1,50,300.07,297946,0,24,127,150,195,992.9216516146233,0
mixed-10vu,a,s1,10,900.053,123281,0,60,141,173,249,136.9708228293223,2.4845530207665547
mixed-50vu,a,s1,50,900.147,339820,0,75,250,352,1246,377.5161168120318,6.5308357412733695
mixed-100vu,a,s1,100,900.178,471167,0,100,235,569,2091,523.4153689603612,9.204834377200953
