workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,b,s1,1,120.001,17249,0,6,9,10,14,143.74046882942642,23.48913759052008
w2-10vu,b,s1,10,120.053,137546,0,8,12,13,33,1145.7106444653612,189.68259851898745
w2-50vu,b,s1,50,120.014,188564,0,29,49,58,83,1571.183361941107,257.9409485560018
q-time-1h-10vu,b,s1,10,120.468,1076,0,1099,1511,1677,1950,8.931832519839293,0
q-time-24h-10vu,b,s1,10,120.52,1103,0,1067,1463,1591,1837,9.152007965482907,0
q-time-7d-10vu,b,s1,10,122.059,344,0,3463,4669,5144,5898,2.818309178348176,0
q-id-10vu,b,s1,10,149.662,0,27898,0,0,0,0,0,0
q-conv-clustered-10vu,b,s2,10,135.754,48,0,19806,53986,65904,74009,0.3535807416356056,0
q-conv-scattered-10vu,b,s2,10,149.23,42,0,26880,62707,67542,82928,0.2814447497152047,0
w1-1vu,b,s2,1,120.06,2381,0,50,71,74,79,19.83175079127103,0.43134932533733134
w1-10vu,b,s2,10,120.193,25666,0,45,64,69,124,213.53989001023353,4.613032372933532
w1-50vu,b,s2,50,120.153,39657,0,139,248,285,359,330.05418091932785,7.1356553727330985
q-time-1h-10vu-s2,b,s2,10,120.024,41834,11,26,43,50,68,348.54695727521164,0
q-time-24h-10vu-s2,b,s2,10,120.029,41952,11,26,42,49,66,349.5155337460114,0
q-time-7d-10vu-s2,b,s2,10,120.078,20530,0,50,95,116,169,170.97220140242175,0
q-id-10vu-s2,b,s2,10,139.35,66,0,19940,42915,45384,57482,0.4736275565123789,0
m1-1tenant,b,s1,50,300.359,8565,0,1714,2291,2496,3064,28.515876001717945,0
m2-5pct,b,s1,50,300.768,8710,0,1708,2234,2390,2730,28.95919778699862,0
m3-50pct,b,s1,50,300.583,8877,0,1660,2211,2403,2825,29.53260829787446,0
m4-50pct-b,b,s1,50,300.426,8898,0,1652,2201,2394,2906,29.6179425216193,0
mixed-10vu,b,s1,10,971.255,2974,34697,190,581,817,1452,3.0620176987505854,0.2632812186295051
mixed-50vu,b,s1,50,901.511,6925,90417,2023,5658,8029,13486,7.681547978893214,0.3403173117133346
mixed-100vu,b,s1,100,935.578,4450,108666,6565,11448,13025,16329,4.756417957668949,0.25099072445055354
