workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120,18666,0,6,8,9,12,155.55,25.359333333333332
w2-10vu,a,s1,10,120.02,130116,0,7,11,13,73,1084.1193134477587,176.7965755707382
w2-50vu,a,s1,50,120.021,197043,0,28,47,56,81,1641.737695903217,269.6232742603378
q-time-1h-10vu,a,s1,10,120.097,17623,0,60,124,156,221,146.73971872736206,0
q-time-24h-10vu,a,s1,10,120.054,19669,0,57,105,128,166,163.8346077598414,0
q-time-7d-10vu,a,s1,10,120.089,20321,0,54,103,124,167,169.21616467786393,0
q-id-10vu,a,s1,10,120.026,36188,0,29,55,65,82,301.5013413760352,0
q-conv-clustered-10vu,a,s2,10,120.044,47185,0,20,47,56,76,393.06420978974376,0
q-conv-scattered-10vu,a,s2,10,120.086,8601,0,121,260,289,337,71.62366970337925,0
w1-1vu,a,s2,1,120.052,2140,0,56,79,82,88,17.82560890280878,0.38771199147036284
w1-10vu,a,s2,10,120.049,21122,0,56,81,87,99,175.9448225307999,3.7948687619222152
w1-50vu,a,s2,50,120.112,43397,0,132,216,236,265,361.30444918076466,7.800161515918476
q-time-1h-10vu-s2,a,s2,10,120.015,82082,31,14,21,24,28,683.931175269758,0
q-time-24h-10vu-s2,a,s2,10,120.023,79582,23,15,22,24,29,663.0562475525525,0
q-time-7d-10vu-s2,a,s2,10,120.018,62940,8,18,28,32,39,524.4213367994801,0
q-id-10vu-s2,a,s2,10,120.06,25535,0,39,98,118,151,212.68532400466432,0
m1-1tenant,a,s1,50,300.044,167905,0,86,144,159,190,559.6012584820893,0
m2-5pct,a,s1,50,300.068,219611,0,46,161,192,251,731.8707759574497,0
m3-50pct,a,s1,50,300.07,297946,0,24,127,150,195,992.9216516146233,0
mixed-10vu,a,s1,10,900.053,123281,0,60,141,173,249,136.9708228293223,2.4845530207665547
mixed-50vu,a,s1,50,900.147,339820,0,75,250,352,1246,377.5161168120318,6.5308357412733695
mixed-100vu,a,s1,100,900.178,471167,0,100,235,569,2091,523.4153689603612,9.204834377200953
w2-1vu,b,s1,1,120.001,17249,0,6,9,10,14,143.74046882942642,23.48913759052008
w2-10vu,b,s1,10,120.053,137546,0,8,12,13,33,1145.7106444653612,189.68259851898745
w2-50vu,b,s1,50,120.014,188564,0,29,49,58,83,1571.183361941107,257.9409485560018
q-time-1h-10vu,b,s1,10,120.468,1076,0,1099,1511,1677,1950,8.931832519839293,0
q-time-24h-10vu,b,s1,10,120.52,1103,0,1067,1463,1591,1837,9.152007965482907,0
q-time-7d-10vu,b,s1,10,122.059,344,0,3463,4669,5144,5898,2.818309178348176,0
q-id-10vu,b,s1,10,149.662,0,27898,0,0,0,0,0,0
q-conv-clustered-10vu,b,s2,10,135.754,48,0,19806,53986,65904,74009,0.3535807416356056,0
q-conv-scattered-10vu,b,s2,10,149.23,42,0,26880,62707,67542,82928,0.2814447497152047,0
w1-1vu,b,s2,1,120.06,2381,0,50,71,74,79,19.83175079127103,0.43134932533733134
w1-10vu,b,s2,10,120.193,25666,0,45,64,69,124,213.53989001023353,4.613032372933532
w1-50vu,b,s2,50,120.153,39657,0,139,248,285,359,330.05418091932785,7.1356553727330985
q-time-1h-10vu-s2,b,s2,10,120.024,41834,11,26,43,50,68,348.54695727521164,0
q-time-24h-10vu-s2,b,s2,10,120.029,41952,11,26,42,49,66,349.5155337460114,0
q-time-7d-10vu-s2,b,s2,10,120.078,20530,0,50,95,116,169,170.97220140242175,0
q-id-10vu-s2,b,s2,10,139.35,66,0,19940,42915,45384,57482,0.4736275565123789,0
m1-1tenant,b,s1,50,300.359,8565,0,1714,2291,2496,3064,28.515876001717945,0
m2-5pct,b,s1,50,300.768,8710,0,1708,2234,2390,2730,28.95919778699862,0
m3-50pct,b,s1,50,300.583,8877,0,1660,2211,2403,2825,29.53260829787446,0
m4-50pct-b,b,s1,50,300.426,8898,0,1652,2201,2394,2906,29.6179425216193,0
mixed-10vu,b,s1,10,971.255,2974,34697,190,581,817,1452,3.0620176987505854,0.2632812186295051
mixed-50vu,b,s1,50,901.511,6925,90417,2023,5658,8029,13486,7.681547978893214,0.3403173117133346
mixed-100vu,b,s1,100,935.578,4450,108666,6565,11448,13025,16329,4.756417957668949,0.25099072445055354
